path,label
D:\coral_patches\sand\18414.jpg,sand
D:\coral_patches\porites\35137.jpg,porites
D:\coral_patches\sand\21304.jpg,sand
D:\coral_patches\porites\38551.jpg,porites
D:\coral_patches\macroalgae\31670.jpg,macroalgae
D:\coral_patches\off\5721.jpg,off
D:\coral_patches\crustose_coralline_algae\13519.jpg,crustose_coralline_algae
D:\coral_patches\turf\41973.jpg,turf
D:\coral_patches\sand\16553.jpg,sand
D:\coral_patches\porites\52094.jpg,porites
D:\coral_patches\turf\58671.jpg,turf
D:\coral_patches\porites\36313.jpg,porites
D:\coral_patches\porites\6676.jpg,porites
D:\coral_patches\sand\23762.jpg,sand
D:\coral_patches\porites\26580.jpg,porites
D:\coral_patches\macroalgae\31322.jpg,macroalgae
D:\coral_patches\macroalgae\21707.jpg,macroalgae
D:\coral_patches\off\8215.jpg,off
D:\coral_patches\macroalgae\24836.jpg,macroalgae
D:\coral_patches\crustose_coralline_algae\25558.jpg,crustose_coralline_algae
D:\coral_patches\porites\50031.jpg,porites
D:\coral_patches\porites\31849.jpg,porites
D:\coral_patches\sand\43699.jpg,sand
D:\coral_patches\off\4168.jpg,off
D:\coral_patches\turf\49081.jpg,turf
D:\coral_patches\macroalgae\47062.jpg,macroalgae
D:\coral_patches\crustose_coralline_algae\58454.jpg,crustose_coralline_algae
D:\coral_patches\porites\23667.jpg,porites
D:\coral_patches\porites\9052.jpg,porites
D:\coral_patches\off\49931.jpg,off
D:\coral_patches\turf\54825.jpg,turf
D:\coral_patches\porites\45917.jpg,porites
D:\coral_patches\crustose_coralline_algae\38522.jpg,crustose_coralline_algae
D:\coral_patches\macroalgae\50248.jpg,macroalgae
D:\coral_patches\turf\47477.jpg,turf
D:\coral_patches\macroalgae\50194.jpg,macroalgae
D:\coral_patches\sand\49365.jpg,sand
D:\coral_patches\off\15645.jpg,off
D:\coral_patches\turf\15748.jpg,turf
D:\coral_patches\turf\15832.jpg,turf
D:\coral_patches\crustose_coralline_algae\9382.jpg,crustose_coralline_algae
D:\coral_patches\porites\47586.jpg,porites
D:\coral_patches\crustose_coralline_algae\32484.jpg,crustose_coralline_algae
D:\coral_patches\off\44499.jpg,off
